STATIONS_ID;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT
1303;1;  127.0;    0.0;    0.0;0;   120.31
1303;1;  127.0;    0.0;    0.0;0;   115.07
1303;1;  128.0;    0.0;    0.0;0;   108.01
1303;1;  127.0;    0.0;    0.0;0;    99.73
1303;1;  128.0;    2.0;    3.0;0;    90.72
1303;1;  129.0;   18.0;   32.0;38;    81.40
1303;1;  131.0;   34.0;   85.0;60;    72.18
1303;1;  135.0;   44.0;  137.0;60;    63.49
1303;1;  138.0;   50.0;  183.0;60;    55.89
1303;1;  140.0;   56.0;  214.0;60;    50.08
1303;1;  142.0;   58.0;  232.0;60;    46.88
1303;1;  143.0;   57.0;  231.0;60;    46.90
1303;1;  144.0;   56.0;  214.0;60;    50.13
1303;1;  145.0;   59.0;  188.0;60;    55.96
1303;1;  146.0;   57.0;  140.0;60;    63.59
1303;1;  145.0;   38.0;   76.0;60;    72.30
1303;1;  142.0;   19.0;   25.0;27;    81.54
1303;1;  140.0;    3.0;    3.0;0;    90.88
1303;1;  139.0;    0.0;    0.0;0;    99.92
1303;1;  136.0;    0.0;    0.0;0;   108.24
1303;1;  135.0;    0.0;    0.0;0;   115.34
1303;1;  134.0;    0.0;    0.0;0;   120.62
1303;1;  133.0;    0.0;    0.0;0;   123.48
1303;1;  130.0;    0.0;    0.0;0;   123.49
1303;1;  130.0;    0.0;    0.0;0;   120.67
1303;1;  129.0;    0.0;    0.0;0;   115.41
1303;1;  128.0;    0.0;    0.0;0;   108.34
1303;1;  127.0;    0.0;    0.0;0;   100.04
1303;1;  127.0;    2.0;    2.0;0;    91.01
1303;1;  127.0;   16.0;   33.0;46;    81.70
1303;1;  128.0;   32.0;   88.0;60;    72.48
1303;1;  129.0;   40.0;  140.0;60;    63.81
1303;1;  132.0;   39.0;  186.0;60;    56.23
1303;1;  133.0;   39.0;  220.0;60;    50.44
1303;1;  135.0;   39.0;  238.0;60;    47.26
1303;1;  136.0;   40.0;  236.0;60;    47.28
1303;1;  137.0;   44.0;  213.0;60;    50.49
1303;1;  138.0;   55.0;  169.0;60;    56.30
1303;1;  140.0;   56.0;  106.0;55;    63.90
1303;1;  143.0;   47.0;   56.0;13;    72.60
1303;1;  137.0;   14.0;   16.0;3;    81.83
1303;1;  139.0;    1.0;    1.0;0;    91.18
1303;1;  138.0;    0.0;    0.0;0;   100.23
1303;1;  142.0;    0.0;    0.0;0;   108.57
1303;1;  139.0;    0.0;    0.0;0;   115.69
1303;1;  134.0;    0.0;    0.0;0;   120.99
1303;1;  128.0;    0.0;    0.0;0;   123.86
1303;1;  131.0;    0.0;    0.0;0;   123.87
1303;1;  138.0;    0.0;    0.0;0;   121.03
1303;1;  139.0;    0.0;    0.0;0;   115.76
1303;1;  140.0;    0.0;    0.0;0;   108.66
1303;1;  133.0;    0.0;    0.0;0;   100.34
1303;1;  142.0;    0.0;    0.0;0;    91.31
1303;1;  144.0;    5.0;    5.0;0;    81.99
1303;1;  144.0;    4.0;    5.0;0;    72.79
1303;1;  140.0;   38.0;   41.0;0;    64.13
1303;1;  129.0;   59.0;  168.0;40;    56.57
1303;1;  133.0;   89.0;  214.0;51;    50.80
1303;1;  134.0;  107.0;  195.0;50;    47.64
1303;1;  134.0;   96.0;  175.0;52;    47.65
1303;1;  135.0;   86.0;  214.0;53;    50.85
1303;1;  137.0;   71.0;  159.0;46;    56.64
1303;1;  140.0;   67.0;  138.0;60;    64.22
1303;1;  138.0;   38.0;   50.0;29;    72.90
1303;1;  141.0;    9.0;   10.0;1;    82.13
1303;1;  145.0;    0.0;    0.0;0;    91.48
1303;1;  147.0;    0.0;    0.0;0;   100.54
1303;1;  146.0;    0.0;    0.0;0;   108.89
1303;1;  143.0;    0.0;    0.0;0;   116.03
1303;1;  142.0;    0.0;    0.0;0;   121.36
1303;1;  140.0;    0.0;    0.0;0;   124.24
1303;1;  146.0;    0.0;    0.0;0;   124.25
1303;1;  147.0;    0.0;    0.0;0;   121.40
1303;1;  145.0;    0.0;    0.0;0;   116.10
1303;1;  145.0;    0.0;    0.0;0;   108.99
1303;1;  145.0;    0.0;    0.0;0;   100.65
1303;1;  144.0;    0.0;    0.0;0;    91.61
1303;1;  144.0;    5.0;    5.0;0;    82.29
1303;1;  143.0;   19.0;   19.0;0;    73.09
1303;1;  143.0;   36.0;   37.0;0;    64.45
1303;1;  141.0;   76.0;   82.0;1;    56.91
1303;1;  143.0;   79.0;   87.0;6;    51.17
1303;1;  140.0;   68.0;   69.0;0;    48.02
1303;1;  132.0;   91.0;  158.0;24;    48.03
1303;1;  140.0;   69.0;   71.0;0;    51.21
1303;1;  139.0;   46.0;   47.0;0;    56.98
1303;1;  138.0;   30.0;   31.0;0;    64.54
1303;1;  136.0;   33.0;   34.0;0;    73.21
1303;1;  135.0;   14.0;   15.0;0;    82.43
1303;1;  136.0;    1.0;    1.0;0;    91.78
1303;1;  135.0;    0.0;    0.0;0;   100.85
1303;1;  131.0;    0.0;    0.0;0;   109.22
1303;1;  119.0;    0.0;    0.0;0;   116.38
1303;1;  118.0;    0.0;    0.0;0;   121.72
1303;1;  121.0;    0.0;    0.0;0;   124.62
1303;1;  108.0;    0.0;    0.0;0;   124.63
1303;1;  109.0;    0.0;    0.0;0;   121.77
1303;1;  117.0;    0.0;    0.0;0;   116.45
1303;1;  118.0;    0.0;    0.0;0;   109.31
1303;1;  124.0;    0.0;    0.0;0;   100.96
1303;1;  116.0;    1.0;    1.0;0;    91.91
1303;1;  116.0;   16.0;   17.0;0;    82.59
1303;1;  125.0;   46.0;   53.0;8;    73.40
1303;1;  115.0;   62.0;  120.0;20;    64.77
1303;1;  123.0;   85.0;  151.0;42;    57.25
1303;1;  128.0;   85.0;   89.0;12;    51.53
1303;1;  131.0;   97.0;  110.0;0;    48.40
1303;1;  118.0;   96.0;  180.0;43;    48.41
1303;1;  125.0;   80.0;  106.0;13;    51.58
1303;1;  130.0;   85.0;  147.0;20;    57.32
1303;1;  120.0;   56.0;  115.0;42;    64.86
1303;1;  113.0;   29.0;   64.0;39;    73.51
1303;1;  111.0;   14.0;   27.0;55;    82.73
1303;1;  110.0;    1.0;    1.0;1;    92.08
1303;1;  109.0;    0.0;    0.0;0;   101.16
1303;1;  107.0;    0.0;    0.0;0;   109.55
1303;1;  106.0;    0.0;    0.0;0;   116.73
1303;1;  106.0;    0.0;    0.0;0;   122.09
1303;1;  106.0;    0.0;    0.0;0;   125.00
1303;1;  107.0;    0.0;    0.0;0;   125.01
1303;1;  107.0;    0.0;    0.0;0;   122.14
1303;1;  106.0;    0.0;    0.0;0;   116.80
1303;1;  106.0;    0.0;    0.0;0;   109.64
1303;1;  106.0;    0.0;    0.0;0;   101.27
1303;1;  106.0;    1.0;    1.0;0;    92.22
1303;1;  106.0;   14.0;   34.0;56;    82.89
1303;1;  108.0;   24.0;   85.0;60;    73.70
1303;1;  111.0;   30.0;  145.0;60;    65.09
1303;1;  113.0;   32.0;  191.0;60;    57.59
1303;1;  114.0;   33.0;  223.0;60;    51.90
1303;1;  117.0;   37.0;  236.0;60;    48.78
1303;1;  119.0;   39.0;  246.0;60;    48.80
1303;1;  120.0;   39.0;  227.0;60;    51.94
1303;1;  121.0;   38.0;  193.0;60;    57.66
1303;1;  119.0;   30.0;  135.0;60;    65.18
1303;1;  118.0;   25.0;   75.0;60;    73.82
1303;1;  119.0;   13.0;   19.0;35;    83.03
1303;1;  120.0;    1.0;    1.0;0;    92.38
1303;1;  122.0;    0.0;    0.0;0;   101.47
1303;1;  121.0;    0.0;    0.0;0;   109.87
1303;1;  119.0;    0.0;    0.0;0;   117.08
1303;1;  119.0;    0.0;    0.0;0;   122.46
1303;1;  121.0;    0.0;    0.0;0;   125.38
1303;1;  129.0;    0.0;    0.0;0;   125.40
1303;1;  129.0;    0.0;    0.0;0;   122.50
1303;1;  135.0;    0.0;    0.0;0;   117.15
1303;1;  127.0;    0.0;    0.0;0;   109.97
1303;1;  119.0;    0.0;    0.0;0;   101.59
1303;1;  119.0;    1.0;    1.0;0;    92.52
1303;1;  118.0;   13.0;   25.0;31;    83.19
1303;1;  119.0;   25.0;   79.0;60;    74.01
1303;1;  122.0;   34.0;  131.0;60;    65.41
1303;1;  124.0;   49.0;  170.0;60;    57.93
1303;1;  131.0;   86.0;  173.0;45;    52.26
1303;1;  128.0;   67.0;  207.0;50;    49.16
1303;1;  128.0;   58.0;  218.0;59;    49.18
1303;1;  130.0;   80.0;  194.0;60;    52.31
1303;1;  131.0;   79.0;  144.0;60;    58.01
1303;1;  133.0;   66.0;   74.0;6;    65.51
1303;1;  140.0;   34.0;   35.0;0;    74.13
1303;1;  144.0;    8.0;    8.0;0;    83.33
1303;1;  146.0;    0.0;    0.0;0;    92.68
1303;1;  141.0;    0.0;    0.0;0;   101.78
1303;1;  142.0;    0.0;    0.0;0;   110.20
1303;1;  140.0;    0.0;    0.0;0;   117.42
1303;1;  141.0;    0.0;    0.0;0;   122.83
1303;1;  134.0;    0.0;    0.0;0;   125.77
1303;1;  143.0;    0.0;    0.0;0;   125.78
1303;1;  143.0;    0.0;    0.0;0;   122.87
1303;1;  142.0;    0.0;    0.0;0;   117.49
1303;1;  142.0;    0.0;    0.0;0;   110.29
1303;1;  142.0;    0.0;    0.0;0;   101.90
1303;1;  145.0;    0.0;    0.0;0;    92.82
1303;1;  140.0;    6.0;    7.0;0;    83.50
1303;1;  129.0;   44.0;   61.0;20;    74.32
1303;1;  127.0;   42.0;  133.0;59;    65.74
1303;1;  131.0;   59.0;  183.0;57;    58.28
1303;1;  137.0;   82.0;  193.0;54;    52.63
1303;1;  137.0;   79.0;  215.0;43;    49.55
1303;1;  134.0;   63.0;  217.0;52;    49.56
1303;1;  133.0;   49.0;  201.0;58;    52.68
1303;1;  135.0;   74.0;  118.0;38;    58.35
1303;1;  140.0;   59.0;   63.0;0;    65.83
1303;1;  139.0;   34.0;   36.0;0;    74.44
1303;1;  136.0;   14.0;   14.0;0;    83.63
1303;1;  134.0;    0.0;    1.0;0;    92.98
1303;1;  132.0;    0.0;    0.0;0;   102.09
1303;1;  131.0;    0.0;    0.0;0;   110.53
1303;1;  130.0;    0.0;    0.0;0;   117.77
1303;1;  131.0;    0.0;    0.0;0;   123.20
1303;1;  132.0;    0.0;    0.0;0;   126.15
1303;1;  131.0;    0.0;    0.0;0;   126.17
1303;1;  131.0;    0.0;    0.0;0;   123.25
1303;1;  134.0;    0.0;    0.0;0;   117.84
1303;1;  141.0;    0.0;    0.0;0;   110.62
1303;1;  143.0;    0.0;    0.0;0;   102.21
1303;1;  139.0;    0.0;    0.0;0;    93.12
1303;1;  140.0;    5.0;    6.0;0;    83.80
1303;1;  136.0;   31.0;   32.0;0;    74.63
1303;1;  140.0;   47.0;   49.0;1;    66.06
1303;1;  138.0;   71.0;   80.0;4;    58.63
1303;1;  133.0;   91.0;  118.0;15;    53.00
1303;1;  130.0;   59.0;  196.0;54;    49.93
1303;1;  137.0;   65.0;  163.0;31;    49.95
1303;1;  134.0;   58.0;  169.0;40;    53.05
1303;1;  131.0;   46.0;  145.0;44;    58.70
1303;1;  126.0;   25.0;  132.0;59;    66.16
1303;1;  127.0;   24.0;   77.0;59;    74.75
1303;1;  133.0;   10.0;   15.0;20;    83.94
1303;1;  142.0;    0.0;    0.0;0;    93.29
1303;1;  136.0;    0.0;    0.0;0;   102.41
1303;1;  125.0;    0.0;    0.0;0;   110.86
1303;1;  121.0;    0.0;    0.0;0;   118.12
1303;1;  116.0;    0.0;    0.0;0;   123.57
1303;1;  115.0;    0.0;    0.0;0;   126.53
1303;1;  109.0;    0.0;    0.0;0;   126.55
1303;1;  108.0;    0.0;    0.0;0;   123.62
1303;1;  107.0;    0.0;    0.0;0;   118.19
1303;1;  110.0;    0.0;    0.0;0;   110.95
1303;1;  111.0;    0.0;    0.0;0;   102.52
1303;1;  113.0;    0.0;    0.0;0;    93.43
1303;1;  124.0;    9.0;    9.0;0;    84.10
1303;1;  118.0;   38.0;   40.0;0;    74.94
1303;1;  115.0;   68.0;   79.0;2;    66.39
1303;1;  114.0;   87.0;  139.0;53;    58.97
1303;1;  122.0;   95.0;  182.0;50;    53.37
1303;1;  119.0;   78.0;  187.0;50;    50.32
1303;1;  121.0;   79.0;  186.0;41;    50.33
1303;1;  117.0;   47.0;  199.0;59;    53.42
1303;1;  132.0;   65.0;   84.0;24;    59.04
1303;1;  136.0;   33.0;   34.0;0;    66.48
1303;1;  130.0;   32.0;   34.0;3;    75.06
1303;1;  131.0;   12.0;   12.0;0;    84.24
1303;1;  137.0;    0.0;    0.0;0;    93.59
1303;1;  136.0;    0.0;    0.0;0;   102.72
1303;1;  136.0;    0.0;    0.0;0;   111.18
1303;1;  136.0;    0.0;    0.0;0;   118.47
1303;1;  134.0;    0.0;    0.0;0;   123.94
1303;1;  137.0;    0.0;    0.0;0;   126.92
1303;1;  135.0;    0.0;    0.0;0;   126.94
1303;1;  132.0;    0.0;    0.0;0;   123.99
1303;1;  119.0;    0.0;    0.0;0;   118.54
1303;1;  118.0;    0.0;    0.0;0;   111.28
1303;1;  118.0;    0.0;    0.0;0;   102.83
1303;1;  117.0;    0.0;    0.0;0;    93.73
1303;1;  117.0;   12.0;   17.0;7;    84.40
1303;1;  118.0;   31.0;   47.0;34;    75.25
1303;1;  120.0;   54.0;   87.0;51;    66.71
1303;1;  126.0;   80.0;   85.0;3;    59.32
1303;1;  128.0;   92.0;  114.0;6;    53.74
1303;1;  130.0;   93.0;  137.0;39;    50.70
1303;1;  129.0;   87.0;  185.0;57;    50.72
1303;1;  131.0;   86.0;  228.0;60;    53.79
1303;1;  129.0;   63.0;  188.0;59;    59.39
1303;1;  124.0;   26.0;  129.0;60;    66.81
1303;1;  124.0;   19.0;   66.0;59;    75.37
1303;1;  123.0;    9.0;   12.0;18;    84.54
1303;1;  124.0;    0.0;    0.0;0;    93.90
1303;1;  122.0;    0.0;    0.0;0;   103.03
1303;1;  121.0;    0.0;    0.0;0;   111.51
1303;1;  121.0;    0.0;    0.0;0;   118.82
1303;1;  123.0;    0.0;    0.0;0;   124.31
1303;1;  127.0;    0.0;    0.0;0;   127.31
1303;1;  126.0;    0.0;    0.0;0;   127.32
1303;1;  123.0;    0.0;    0.0;0;   124.36
1303;1;  121.0;    0.0;    0.0;0;   118.89
1303;1;  121.0;    0.0;    0.0;0;   111.61
1303;1;  124.0;    0.0;    0.0;0;   103.15
1303;1;  130.0;    0.0;    0.0;0;    94.04
1303;1;  123.0;   12.0;   21.0;31;    84.71
1303;1;  129.0;   43.0;   79.0;54;    75.56
1303;1;  127.0;   50.0;  146.0;59;    67.04
1303;1;  128.0;   65.0;  158.0;60;    59.67
1303;1;  134.0;  108.0;  142.0;41;    54.11
1303;1;  140.0;   95.0;  111.0;13;    51.09
1303;1;  143.0;   45.0;   47.0;0;    51.10
1303;1;  143.0;   36.0;   37.0;0;    54.16
